專案名稱,關鍵字 號碼,關鍵字
調查牛乳房炎導致產業之經濟影響及建立台灣乳牛因應氣候變遷之健康管理標準模式,"[183, 576, 656, 884]","牛乳房炎, 氣候變遷, 健康管理, 經濟影響"
因應氣候變遷調適作物病蟲害管理模式之研究,"[140, 576, 601]","日本, 氣候變遷, 病蟲害"
衛星遙測影像應用於氣候變遷對海洋漁業影響之研究,"[283, 502, 1062]","地理資訊系統, 秋刀魚, 衛星遙測"
分析全球暖化與氣候變遷造成國際糧價變動之影響以及未來變化趨勢,"[40, 763, 886]","GTAP, 最大概似法, 聖嬰現象"
良質米研究團隊-面對全球暖化之水稻新育種及栽培技術研究,"[174, 269, 380]","水稻, 全球暖化, 育種"
良質米研究團隊－因應氣候變遷之水稻生產策略:與日本及IRRI之栽培科技及產量預測,"[174, 239, 576, 1158]","水稻, 生產, 氣候變遷, 糧食安全"
研習氣候變遷下紓解乳牛熱緊迫之觀念與應用,"[397, 533, 1044]","乳牛, 降溫畜舍, 熱緊迫"
面對全球暖化水稻育種及栽培技術之研究,"[174, 269, 357]","水稻, 全球暖化, 抗病性"
氣候變遷對於牧草生產之因應,"[439, 576, 981]","牧草生產, 氣候變遷, 碳積存"
氣候變遷對於牧草生產及草原生態環境之影響,"[385, 439, 576]","豆科牧草, 牧草生產, 氣候變遷"
氣候變遷對植物健康及檢疫措施之影響,"[576, 793, 1114]","氣候變遷, 植物健康, 檢疫"
因應全球暖化之水稻耐旱與抗白葉枯病新品種的開發,"[124, 256, 509, 1110]","分子輔助選拔, 白葉枯病, 耐旱, 優質米"
良質米研究團隊-水稻面對氣候變遷淹水逆境品種改良與栽培技術研究,"[174, 488, 706]","水稻, 品質, 淹水"
因應氣候變遷建立玉米採種體系,"[217, 576, 982, 985, 986, 988, 1183]","玉米, 氣候變遷, 種子披衣, 種子造粒, 種子滲調, 種子膜衣, 雜糧玉米"
因應氣候變遷果樹品種改良及栽培技術改進,"[144, 269, 325, 354, 384, 395, 433, 551, 576, 630, 811, 827, 1008, 1024, 1101, 1185]","日燒, 全球暖化, 低溫害, 忍受性, 芒果果園, 防護, 果樹, 套袋, 氣候變遷, 逆境, 番荔枝, 裂果, 網室栽培, 鳳梨, 螢光反應, 離子滲漏"
氣候變遷影響下農地資源合理利用與儲備機制之研究,"[127, 214, 576, 901, 905]","分級分區, 永續土地管理, 氣候變遷, 農地利用, 農地儲備"
建立因應氣候變遷之農業知識系統及策略之研究,"[450, 451, 576]","知識系統, 知識管理, 氣候變遷"
建構台灣農作物氣象諮詢服務體系及災害主動預警系統,"[4, 36, 70, 283, 535, 924]","Agrometeorological Disaster, Geograpgical Information System, Risk Analysis, 地理資訊系統, 風險分析, 農業氣象災害"
應用環控裝置改善茶園微氣候及對茶葉生育之影響,"[752, 848, 1123, 1150]","寒害, 微氣候, 環控技術, 霜害"
臺灣茶區氣象變化與茶葉生產技術調整之研究,"[576, 579, 617]","氣候變遷, 氣象災害, 茶"
農業氣象觀測與資源規劃應用,"[3, 5, 11, 22, 24, 51, 54, 69, 80, 83, 174, 177, 578, 581, 582, 713, 801, 913, 923, 925, 1217]","Agrometeorological, Agrometeorology Observation, Climate, Feohn, Foehn, Meteorological Station, Observation, Rice, Weather Data, Yield, 水稻, 水稻品種, 氣象, 氣象站, 氣象記錄, 產量, 焚風, 農業生產, 農業氣象, 農業氣象觀測, 觀測"
農業氣象觀測及作物生理動態監測系統之研究,"[330, 576, 579, 648, 734, 923]","作物生理, 氣候變遷, 氣象災害, 高溫害, 通量, 農業氣象"
因應氣候變遷之優質雜草管理對不同期作水稻生產之影響,"[174, 583, 764, 1012, 1014, 1182]","水稻, 氣象環境, 期作差異, 臺南11號, 臺?9號, 雜草管理"
氣候變遷對漁業之影響研究—臺灣周邊海域因氣候變遷流系消長對重要經濟性魚種漁業資源變動影響之研究,"[576, 587, 965]","氣候變遷, 海流, 漁業資料庫"
氣候變遷對漁業之影響研究-臺灣周邊海域基礎生產力監測及湧昇流漁業資源調查,"[166, 576, 679, 800, 937]","水溫, 氣候變遷, 基礎生產力, 湧昇流, 過漁指數"
氣候變遷情境下曾文水庫集水區降雨型態變遷研究,"[531, 576, 762]","降雨型態, 氣候變遷, 曾文水庫"
氣候變遷下潛勢蒸發散對農業水資源之衝擊研究,"[195, 576, 1038]","可再生水資源, 氣候變遷, 潛勢蒸發散量"
氣候變遷對灌溉缺水風險之影響評估,"[534, 576, 1203]","風險, 氣候變遷, 灌溉"
因應氣候變遷補充灌溉水井與水田空間關係研究,"[157, 280, 576]","水田, 地下水, 氣候變遷"
氣候變遷下台灣北部地區臭氧之變化潛勢,"[576, 613, 1191]","氣候變遷, 臭氧, 類神經網路"
氣候變遷下考量農業用水調配之乾旱供水風險分析,"[379, 576, 663]","系統動力學, 氣候變遷, 區域水資源"
因應氣候變遷結合有效雨量埤塘河水堰之水田灌溉管理,"[576, 677, 1072, 1192]","氣候變遷, 埤池, 輪灌, 攔河堰"
氣候變遷下智慧型農業配水因應策略,"[162, 258, 361, 759, 760]","水庫操作, 休耕, 決策支援系統, 智慧型??, 智慧型理論"
因應氣候變遷之水田最適灌溉用水調配之研究,"[157, 576, 874]","水田, 氣候變遷, 節水灌溉"
氣候變遷下水田灌溉水量與田間耗水量之關係,"[157, 252, 576]","水田, 田間耗水量, 氣候變遷"
氣候變遷對農業回歸水及土壤入滲量之影響,"[93, 276, 576]","土壤入滲量, 回歸水, 氣候變遷"
適應氣候變遷之小農永續經營-系統回饋式配水管理,"[114, 378, 633]","小農, 系統回饋式模組, 配水"
氣候變遷對作物灌溉需水量及產量影響之研究,"[334, 340, 576, 1211]","作物生產模式, 作物產量, 氣候變遷, 灌溉需水量"
氣候變遷對灌溉系統供水承載力影響評估方法之建立,"[402, 576, 1208]","供水承載力, 氣候變遷, 灌溉系統"
氣候變遷對水田灌溉三生功能整體效益影響推估模式之建立,"[157, 576, 917]","水田, 氣候變遷, 農業多功能"
生物資源災損評估及預警之研究(1/3),"[229, 269, 408]","生物多樣性, 全球暖化, 受害評估"
氣候變遷下廣泛分布樹種之區內外保存(1/4),"[576, 593, 693, 984, 1034, 1085, 1200]","氣候變遷, 烏心石, 採穗嫁接, 種子採集和發芽, 樟樹, 樹木栽植, 櫸樹"
氣候變遷對蕨類物候之影響 (1/5),"[441, 576, 1100]","物候, 氣候變遷, 蕨類"
森林生態系對氣候變遷之反應–於森林動態樣區建立監測系統(2/3),"[192, 576, 766, 1176]","功能特徵, 氣候變遷, 森林生態系, 轉換速率"
探討環境變遷、全球暖化對台灣生物多樣性影響之研究–氣候變遷對重要生態系指標性生物之影響,"[156, 242, 269, 404, 744, 865, 1058, 1060, 1136]","水生植物, 生態系, 全球暖化, 兩棲類, 魚類, 溼地, 蝦蟹類, 蝶類, 環境變遷"
入侵物種可能擴散之分布模式建立與預測（2/3）,"[38, 43, 204, 248, 265, 576, 943]","GISIN, IAS, 外來入侵物種, 生態棲位, 全球入侵物種資訊網, 氣候變遷, 預測模型"
氣候變遷下的外來種植食性昆蟲之入侵風險評估(2/3),"[205, 538, 552, 576, 794]","外來入侵種, 風險評估, 害蟲, 氣候變遷, 植食性"
氣候變遷對番荔枝有害生物之影響及防治策略因應,"[430, 604, 811, 894]","果實品質, 粉介殼蟲, 番荔枝, 葉?"
水稻有害生物相及氣候變遷相關資料調查及建構,"[175, 576, 1049]","水稻有害生物相, 氣候變遷, 稻熱病"
氣候變遷對作物有害生物之影響及防治策略因應,"[576, 599, 750]","氣候變遷, 病毒病, 媒介昆蟲"
氣候變遷對北部地區水稻病蟲害生態影響調查,"[174, 240, 576, 600, 601, 1173]","水稻, 生態, 氣候變遷, 病害, 病蟲害, 蟲害"
氣候變遷對茶樹有害生物之影響及防治策略之研究,"[389, 576, 620]","防治策略, 氣候變遷, 茶樹有害生物"
新興整合-精緻農業-氣候變遷對作物有害生物之影響及防治策略因應,"[572, 907, 998]","氣候暖化, 農作物有害生物, 管理策略"
因應氣候變遷開發抗逆境防治病蟲害之有益微生物,"[459, 630, 847]","芽孢桿菌, 逆境, 微生物製劑"
氣候變遷對人畜共通傳染病的影響與防疫策略資訊之搜集與研析,"[58, 87, 576, 859, 870]","Q熱, 人畜共通傳染病, 氣候變遷, 極端氣候, 禽流感"
氣候變遷對水產動物人畜共通傳染病之影響,"[87, 163, 576, 597]","人畜共通傳染病, 水產動物, 氣候變遷, 疾病"
氣候變遷下輸入與走私禽鳥及其產品之家禽流行性感冒及西尼羅熱監測,"[320, 557, 576, 831, 1102]","西尼羅熱, 家禽流行性感冒, 氣候變遷, 進口禽肉, 輸入禽鳥"
氣候變遷對毛豬災後人畜共通疾病影響及對社會經濟損失之研究,"[86, 576, 882]","人畜共通疾病, 氣候變遷, 經濟損失"
因應氣候變遷建立獸醫教育資源共享,"[209, 681, 1196]","外科, 專科訓練, 繼續教育"
因應氣候變遷強化草食動物醫療訓?計畫,"[623, 628, 1187]","草食動物, 訓練計畫, 獸醫師"
