計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
調查牛乳房炎導致產業之經濟影響及建立台灣乳牛因應氣候變遷之健康管理標準模式,"[183, 576, 656, 884]","牛乳房炎, 氣候變遷, 健康管理, 經濟影響",牧業,牧業,乳牛乳房炎乃造成國內乳牛產業最嚴重的疾病之一，估計每年乳產量損失約有4.3億台幣，此還不包括因乳房炎或是高乳體細胞數而廢棄的生乳以及醫藥費用或牛隻淘汰的經濟損失，但目前仍尚未有研究調查台灣之乳房炎損失，因此本試驗乃希望評估台灣乳牛乳房炎所造成之經濟損失的程度，強化酪農現場乳房炎防治的重要性，提出正確且切合實際之乳房炎防治方法，提升乳牛飼養之經濟效益。乳牛在分娩後到泌乳早期的期間，由於產仔和泌乳兩大緊迫因子的影響，導致乾物質採食量不足，而使得牛隻極易負能量平衡，引起各項疾病，造成產能嚴重下降。而要有效的防治牛隻發生代謝性疾病，最重要的就是精準地、平衡地餵飼。本試驗目的乃希望監控牧場牛隻於乾乳期、產後、泌乳初期、中期及後期等牛隻的健康情形，加上牧場的飼養管理及乳量的表現，提出牧場管理缺失並加以改善，避免產後疾病的發生，進而達到增加牧場的飼養效益之目的。,"乳牛, 乳房, 疾病, 台幣, 乳量, 生乳, 目的"
因應氣候變遷調適作物病蟲害管理模式之研究,"[140, 576, 601]","日本, 氣候變遷, 病蟲害",農業,農業,氣候變遷被視為是全球作物生長及生產的最重要關鍵議題。有關氣候變遷關注的因素為氣溫、濕度及大氣二氧化碳濃度的提升。氣候變遷會影響病蟲害生物學特性、分布、社群組成及生態動態等。本計畫擬赴日本農業研究機構研習有關氣候變遷對於水稻及果樹類病蟲害分布範圍位移、評估技術及預警作為等議題，以協助國內因應氣候變遷採取必要的作為。,"濕度, 社群, 作物, 水稻, 特性, 因素, 全球, 研究"
衛星遙測影像應用於氣候變遷對海洋漁業影響之研究,"[283, 502, 1062]","地理資訊系統, 秋刀魚, 衛星遙測",農業,農業,本計畫目標係邀請日本專家技術指導，如何利用衛星遙測影像及地理資訊系統相關技術，進行西北太平洋海域是臺灣遠洋秋刀魚漁海況分析及速報之發佈。,"海域, 利用, 分析"
分析全球暖化與氣候變遷造成國際糧價變動之影響以及未來變化趨勢,"[40, 763, 886]","GTAP, 最大概似法, 聖嬰現象",農業,農業,"本計畫將與國際著名的德國波昂大學CAPRI研究團隊合作，分析全球暖化與氣候變遷造成國際糧價變動之影響以及未來變化趨勢。本計畫的第一個研究目的是估計這些氣候變遷對糧食市場的經濟影響，尤其是對價格的影響及其價格波動之分析。其中氣候變遷包含了長期和短期的氣候變化，長期的氣候變化是指溫度與雨量的變動，而短期的氣候變化則以聖嬰現象（El Ni?o-Southern Oscillation, 簡稱ENSO）區域的氣候變化為主。另外糧食是定義在包括稻米、玉米及小麥等三種主要的全球糧食之產品，而糧食的市場則是這三種產品的全球貿易市場。本研究的第二個研究目的是評估未來可能的因應策略之成效，其中所要研擬的因應策略及其成效的評估將包含氣候資訊的預測、糧食面積的調整、作物保險的實施以及政府的庫存和貿易自由化等策略。根據這些策略來評估其成效，尤其是在糧食安全維護的成效上。","研究, 策略, 目的, 全球, 分析, 自由化, 稻米, 雨量"
良質米研究團隊-面對全球暖化之水稻新育種及栽培技術研究,"[174, 269, 380]","水稻, 全球暖化, 育種",農業,農業,本計畫主要目的在於迅速引進國際水稻應對全球暖化新育種及栽培之技術，如耐逆境品種研發及建立其栽培技術，進而能應用新育種及栽培之技術，並藉此計畫培育台灣育種人員的國際觀，研習國際間因應全球氣候變遷的水稻生產策略及栽培改進、育種技術，作為我國未來稻作產業研發之參考，以面對氣候變遷未來可能發生的問題。,"栽培, 水稻, 稻作, 培育, 策略, 目的"
良質米研究團隊－因應氣候變遷之水稻生產策略:與日本及IRRI之栽培科技及產量預測,"[174, 239, 576, 1158]","水稻, 生產, 氣候變遷, 糧食安全",農業,農業,臺灣位居亞熱帶地區，依IPCC的預測在氣候變遷的趨勢下是處於糧食生產的敏感地地區。我國的研究顯示，未來百年臺灣平均氣溫將增加1-3℃，我國目前栽培的水稻屬於適應溫帶地區的梗稻(日本型)，氣溫如果再增加1-3℃，將造成產量與品質的顯著下降。在全球暖化的趨勢下，我國應及早研究糧食生產之因應策略。?????IRRI 為國際最大之稻作及糧食科技研究單位，為因應全球氣候變遷對稻米生產之衝擊，已於2007年成立Rice and Climate Change Consortium，構成國際的研究團隊與資訊交流網絡，從大氣、栽培育種、資源管理等多方向進行跨領域的科技研究，並協助國際間的相關科技與資訊交流，以釐訂各國的因應策略。?日本為國際上稻作研究先進國家，近年來已積極發展在因應環境變遷之稻作生產與預測科技，以掌握甚至提昇其糧食安全與自給能力。??????99年度已與日本MINCER團隊完成田間栽培與微氣象記錄，正進行後續與其他國家試驗地之產量分析與綜合分析。並已完成我國良質米團隊專家至日本研習氣候變遷之稻作發展科技之交流。此外，99年度已完成邀請日本與IRRI學者來臺交流訪問，發表演講及與我國稻米團隊專家進行技術交流。????本計畫100年度將持續與IRRI及日本進行合作研究，與國際稻作與糧食科技研究團隊接軌，進行資訊交流及合作計畫，以作為我國釐訂因應氣候變遷之糧食安全策略之基礎。,"稻作, 科技, 研究, 交流, 栽培, 年度, 稻米"
研習氣候變遷下紓解乳牛熱緊迫之觀念與應用,"[397, 533, 1044]","乳牛, 降溫畜舍, 熱緊迫",農業,農業,在台灣，夏季溫度與溼度皆高，且持續時間長達約6個月（從5月份到10月份），體內代謝活動劇烈的泌乳牛受此一熱緊迫的影響比其他動物嚴重，導致採食量、泌乳量、繁殖效率與生長速率皆大為降低，並容易引發代謝與營養的問題而導致死亡。目前為了舒緩熱緊迫所採用的策略與方法有：噴水加吹風以增加牛隻蒸發散熱、水簾式牛舍、繁殖內泌素處理、飼糧營養調整及管理策略等，然而，這些方法似乎還未達到理想的目標，且有面臨瓶頸無法突破的困境，加上氣候變遷的因素，使得熱緊迫的問題更為複雜。由於台灣乳牛頭數不多，研究與實際應用的案例較為缺乏，因此可從酪農業發達的國家學習這方面的觀念、研究方法及實際應用效果。本研習計劃內容為前往夏威夷大學接受Dr. Chin Nyean Lee短期指導並討論台灣的現況，期待能夠獲得更多更新的觀念與研究方法，為乳牛熱緊迫問題找到更有效的解決辦法。,"乳牛, 方法, 研究, 溼度, 內泌, 飼糧, 管理策略, 月份"
面對全球暖化水稻育種及栽培技術之研究,"[174, 269, 357]","水稻, 全球暖化, 抗病性",農業,農業,水稻白葉枯病(Xanthomonas oryzae pv. oryzae)是一種細菌性病害，遍及亞洲主要稻米產區。本計畫主要是利用分子輔助回交育種，將Xa21及Xa7基因導入臺灣目前主要的良質米品種，如中晚熟米質佳且對白葉枯病感性之台?9號及台南11號等。主要工作項目為邀請國際稻米研究所水稻白葉枯病專家及交換分子輔助育種技術與引進抗病種原等。,"水稻, 分子, 良質, 晚熟, 抗病, 感性, 病害, 稻米, 基因"
氣候變遷對於牧草生產之因應,"[439, 576, 981]","牧草生產, 氣候變遷, 碳積存",農業,農業,台灣飼料的自給率低，牧草亦有半數仰賴進口，而農業生產因受全球氣候變遷影響甚鉅，氣候造成的生產與供應穩定性降低，將大幅影響台灣的畜產業。為提升糧食自給率及穩定國內畜產業飼料來源，國內已有獎勵種植牧草與飼料作物的政策。因應未來暖化與異常天候的變動，良質牧草及飼料作物的生產技術需借助國外的研究經驗。日本在減少溫效氣體排放、增加碳蓄積、友善環境的草地經營究經驗可做為兼具環境維護的農地活化措施參考。因此，本計畫擬赴日本研習相關因應策略與減少溫效氣體排放、增加碳蓄積之牧草地管理技術，供國內相關研究之參考。,"牧草, 牧草地, 良質, 天候, 活化, 研究, 草地, 措施"
氣候變遷對於牧草生產及草原生態環境之影響,"[385, 439, 576]","豆科牧草, 牧草生產, 氣候變遷",農業,農業,苜蓿（Medicago sativa L.）是國內餵飼動物相當重要的豆科牧草，但在台灣僅有少許酪農栽培，大部份仰賴進口。農民栽培苜蓿的意願不高的原因乃由於苜蓿常於雨季豪雨後死亡，因為其根部不耐浸水而容易腐爛。根據初步的研究結果顯示，苜蓿種子之滲漏液電導度在淹水後24小時內可達最高，且種子之萌芽率隨淹水之影響而下降，鮮草產量、植體成分如氮、磷及鉀方面均受到影響。為能提高國內農民生產高品質豆科牧草的意願，以降低酪農生產成本，選育出具耐淹水之苜蓿品種實為當務之急。本組擬與加拿大University of BritishColoumbia之分子生物技術應用於作物育種及氣候異常變遷等相關研究團隊合作，進行豆科牧草耐淹水基因之篩選及研究，以進行台灣耐淹水苜蓿品種的選育，期能育出耐淹水苜蓿品種供農民種植。,"苜蓿, 栽培, 研究, 分子生物, 豪雨, 植體, 期能"
