機率,關鍵字
0.85114264,氣候變遷
0.06112684,水稻
0.03193472,飼料
0.02977703,氣象災害
0.00617148,風險評估
0.00444645,農業氣象
0.00204885,能量飼作
0.00157937,肉雞
0.00155116,生長性能
0.00104142,高溫害
0.00099515,外表型評估
0.00079182,逆境調適能力之水稻
0.00074994,海藻
0.00074458,種原評估/交換
0.00071632,全球氣候變遷
0.00070756,耐逆境基因
0.00067728,稻熱病/白葉枯病
0.00047834,白葉枯病
0.0004175,樹薯
0.00038213,蟲害
0.00032006,生態
0.00031971,病蟲害
0.00024289,病害
0.0002327,自給率
0.00020042,茶
0.0001996,國際合作
0.00016847,逆境耐/抗性
0.00016775,單一核?酸多型性
7.75E-05,家畜禽
7.70E-05,澱粉
5.08E-05,森林生態系調適
4.07E-05,重金屬
4.03E-05,高產
3.83E-05,蛋白質
3.82E-05,魚
1.43E-05,Annual National Inventory Report
1.37E-05,國家清冊計算
1.27E-05,作物需水量
1.25E-05,Forest Certification
1.12E-05,REDD+
9.71E-06,Invasive Alien Species
9.55E-06,日本森林保健學會
8.05E-06,POMS
7.98E-06,FFPRI
7.87E-06,Forest Habitat
7.81E-06,Climate change
6.43E-06,天氣繁衍器
6.38E-06,Recovery
6.35E-06,Recreation and Conservation conflict
6.34E-06,植食性
6.32E-06,自然資源管理
6.24E-06,Biodiversity Adaptation
6.18E-06,Recreational Facilities
5.99E-06,遊憩與保育衝突
5.98E-06,木造建築保存技術
5.96E-06,熱耐受性
4.86E-06,京都議定書
4.85E-06,Disaster risk assessment
4.83E-06,生物多樣性調適
4.74E-06,Forest Industry Culture
4.74E-06,Climate Change
4.73E-06,森林療癒
4.72E-06,Urban Natural Resources Stewardship
4.71E-06,Mountain lacustrine and palustrine
4.70E-06,外來物種入侵
4.70E-06,Forestry Carbon Sequestration
4.69E-06,Restoration
4.67E-06,Forestry and Forest Products Research Institute
4.61E-06,追求健康促進
4.61E-06,琵琶湖
4.54E-06,保育
4.54E-06,Forest wetland
3.29E-06,林業文化園區
3.22E-06,恢復
3.20E-06,Forest Industry Cultural Park
3.11E-06,林業碳匯
3.08E-06,遊憩設施
3.08E-06,森林經營水平
3.07E-06,International Society of Nature and Forest Medicine
1.70E-06,Repurposing of Unused Space
1.69E-06,COP21
